dataset_label,source_or_family,format,json_top_level_type,candidate_record_path,exact_record_count,estimated_record_count,field_path,inferred_scalar_type,null_count,null_rate,unique_count_or_status,min_string_length,median_string_length,max_string_length,language_script_profile,candidate_text,candidate_id,candidate_metadata,name_suggests_korean,name_suggests_english,name_suggests_source_target_original_translation,name_suggests_cleaning_normalization,evidence_status
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.target_language,"{""string"": 1200000}",0,0.0,1,2,2,2,,False,False,True,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.word_count_en,"{""integer"": 1200000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.word_count_ko,"{""integer"": 1200000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,TRAIN_KO_TO_EN,JSON,object,root.data[*],1200000,1200000,root.data.word_ratio,"{""number"": 1200000}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.data_set,"{""string"": 150038}",0,0.0,1,8,8,8,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.domain,"{""string"": 150038}",0,0.0,1,4,4,4,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.en,"{""string"": 150038}",0,0.0,133408,13,59,399,"{""digit"": 0.00383041, ""emoji_symbol"": 2.636e-05, ""latin"": 0.81157004, ""other"": 3.19e-05, ""punctuation"": 0.02792248, ""whitespace"": 0.15661881}",True,False,False,False,True,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.en_original,"{""string"": 150038}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,13,59,399,,True,False,False,False,True,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.file_name,"{""string"": 150038}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,15,15,15,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.included_unknown_words,"{""boolean"": 150038}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.ko,"{""string"": 150038}",0,0.0,134376,4,29,222,"{""digit"": 0.00834292, ""emoji_symbol"": 5.549e-05, ""hangul"": 0.72756678, ""latin"": 0.01539831, ""other"": 9.269e-05, ""punctuation"": 0.03945649, ""whitespace"": 0.20908731}",True,False,False,True,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.license,"{""string"": 150038}",0,0.0,1,4,4,4,,False,False,True,False,False,False,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.mt,"{""string"": 150038}",0,0.0,NOT_COMPUTED_HIGH_CARDINALITY,5,29,222,,True,False,False,False,False,True,False,LOCAL_OBSERVED
LOCAL_DIR_025,VALID_EN_TO_KO,JSON,object,root.data[*],150038,150038,root.data.ner,"{""null"": 143978, ""object"": 6060}",143978,0.9596102320745411,NOT_COMPUTED_HIGH_CARDINALITY,,,,,False,False,True,False,False,False,False,LOCAL_OBSERVED
