dataset_label,file_family,metadata_concept,field_paths,inferred_type,non_null_rate,cardinality_or_status,observed_categories_counts_json,status
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(3),preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),source,언론사,see schema inventory,1.0,10,"{""언론사"":[[""서울경제"",70256],[""노컷뉴스"",29035],[""국민일보"",24500],[""한겨레"",21867],[""스포츠서울"",14954],[""전자신문"",13777],[""파이낸셜뉴스"",10697],[""SBS"",7382],[""내일신문"",5048],[""미디어오늘"",2484]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),domain,자동분류1|자동분류2|자동분류3,see schema inventory,1.0,86,"{""자동분류1"":[[""사회,사건_사고"",22492],[""사회,사회일반"",10889],[""문화,방송_연예"",10074],[""경제,산업_기업"",9076],[""지역,지역일반"",6743],[""IT_과학,인터넷_SNS"",6334],[""IT_과학,과학"",6267],[""국제,국제일반"",5277],[""스포츠,스포츠일반"",5107]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),style,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),document_id,ID,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),direction,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),license,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),qc,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),date_time,날짜,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),url,URL,see schema inventory,0.780055,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,3_문어체_뉴스(4),preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,source,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,domain,키워드,see schema inventory,1.0,102,"{""키워드"":[[""한국국제문화교류진흥원"",66358],[""문화유산"",10219],[""문화·교육/문화·예술"",6995],[""역사/근현대"",4063],[""역사"",3834],[""문화·교육"",2165],[""생활·민속"",1686],[""정치·경제·사회"",619],[""역사/근현대|성씨·인물/근현대 인물"",561],[""지리"",509]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,style,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,document_id,ID,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,direction,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,license,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,qc,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,4_한국문화,preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,source,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,domain,지자체,see schema inventory,1.0,54,"{""지자체"":[[""노원구 조례"",12826],[""경기도"",10097],[""광진구 조례"",5615],[""강원도"",5577],[""인천광역시"",5571],[""관악구 조례"",5410],[""강서구"",4275],[""강동구"",3400],[""강남구"",3276],[""구로구"",2350],[""도봉구"",2346],[""경기도교육청"",2138]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,5_조례,style,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,document_id,ID,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,5_조례,direction,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,license,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,qc,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,5_조례,preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,source,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,domain,지자체,see schema inventory,1.0,4,"{""지자체"":[[""경기도"",86455],[""서울시 중구"",10351],[""강남구청"",2377],[""중구청"",904]]}",DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,style,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,document_id,ID,see schema inventory,1.0,,,DIRECTLY_OBSERVED
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,direction,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,split,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,license,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,qc,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,date_time,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,author_speaker,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,url,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,translation_actor,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,pii_masking,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
LOCAL_LEGACY_KO_EN_XLSX,6_지자체웹,preprocessing,NOT OBSERVED,N/A,0.0,NOT OBSERVED,,ABSENT
